Good case Excellent value.,positive
Great for the jawbone.,positive
The mic is great.,positive
If you are Razr owner...you must have this!,positive
And the sound quality is great.,positive
He was very impressed when going from the original battery to the extended battery.,positive
Very good quality though,positive
Highly recommend for any one who has a blue tooth phone.,positive
So Far So Good!.,positive
Works great!.,positive
I bought this to use with my Kindle Fire and absolutely loved it!,positive
I have yet to run this new battery below two bars and that's three days without charging.,positive
Great Pocket PC / phone combination.,positive
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,positive
This product is ideal for people like me whose ears are very sensitive.,positive
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,positive
It has kept up very well.,positive
The case is great and works fine with the 680.,positive
It has a great camera thats 2MP and the pics are nice and clear with great picture quality.,positive
Nice headset priced right.,positive
Excellent bluetooth headset.,positive
It has all the features I want,positive
This case seems well made.,positive
good protection and does not make phone too bulky.,positive
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,positive
This phone is pretty sturdy and I've never had any large problems with it.,positive
I love this thing!,positive
Everything about it is fine and reasonable for the price i.e.,positive
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,positive
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,positive
I really recommend this faceplates since it looks very nice elegant and cool.,positive
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,positive
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,positive
Great for iPODs too.,positive
This device is great in several situations:1.),positive
Great choice!,positive
Nice docking station for home or work.,positive
This is a beautiful phone.,positive
Love this product.,positive
This is a great little item.,positive
I love this phone  It is very handy and has a lot of features .,positive
I wear it everyday and it holds up very well.,positive
Well packaged arrived on time and works as intended.,positive
The headsets are easy to use and everyone loves them.,positive
This phone works great.,positive
Product was excellent and works better than the verizon one and Boy was it cheaper!,positive
The phone loads super!,positive
Made very sturdy.,positive
Worked great!.,positive
Will order from them again!,positive
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,positive
Integrated seamlessly with the Motorola RAZR phone.,positive
Definitely a bargain.,positive
The price was very good and with the free shipping and all it was a good purchase.,positive
Pros:-Good camera - very nice pictures  also has cool styles like black and white and more.,positive
I love my 350 headset.. My Jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit.,positive
Sound quality on both end is excellent I use headset to call my wife and ask my wife to use headset to call me !2.,positive
This phone is slim and light and the display is beautiful.,positive
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,positive
Great product fast shipping!.,positive
Absolutely great.,positive
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,positive
It is very comfortable on the ear.,positive
It has been a winner for us.,positive
)Setup couldn't have been simpler.,positive
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,positive
Iam very pleased with my purchase.,positive
Gets the job done.,positive
Great audio!.,positive
I've only had my bluetooth for a few weeks but I really like it.,positive
It is so small and you don't even realize that it is there after a while of getting used to it.,positive
The accompanied software is almost brilliant.,positive
Headset works great & was packaged nicely to avoid any damage.,positive
!I definitly recommend!!,positive
Very good stuff for the price.,positive
My headset works just peachy-keen.,positive
Voice recognition is tremendous!,positive
I got this phone on reccomendation from a relative and I'm glad I did.,positive
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,positive
I know that sounds funny but to me it seemed like sketchy technology that wouldn't work well.Well this one works great.,positive
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,positive
Nice quality build unlike some cheap s*** out there.,positive
This item is fantastic and works perfectly!,positive
And I just love the colors!,positive
W810i is just SUPERB.,positive
Great charger.,positive
Works like a charm it work the same as the one I got with the phone.,positive
Great Value.,positive
The look of it is very sharp and the screen is nice and clear with great graphics.,positive
EXCELLENT SERVICE!!!!!!!!.,positive
The iGo chargers and tips are really great.,positive
The file browser offers all the options that one needs.Handsfree is great.,positive
Superb Phone on a Great Network.,positive
I connected my wife's bluetooth(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.,positive
The sound quality is good and functionality is awesome.,positive
Incredible!.,positive
Great phone!.,positive
Any ring tone..Overall good phone to buy..,positive
Lately they have been extremely nice and helpful on the phone.,positive
Light weight I hardly notice it is there.,positive
You'll love how thin it is.,positive
The color is even prettier than I thought it would be and the graphics are incredibly sharp.,positive
All in all I think it was a good investment.,positive
The best electronics of the available FM Transmitters.,positive
great headset very impressed - H500.,positive
The 1.2 mega pixel camera being a part of a phone is reasonably good7.,positive
I've had this for nearly 2 years and it has worked great for me.,positive
Good transmit audio.,positive
Great price also!,positive
The range is very decent I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.,positive
fast service.,positive
I would highly recommend this.,positive
I would recommend this.,positive
I'm still infatuated with this phone.,positive
Simple lightweight and great fit.,positive
These are certainly very comfortable and functionality is decent.,positive
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,positive
Great sound and service.,positive
Really pleased with this product so far.,positive
One of my favorite purchases ever.,positive
best bluetooth on the market.,positive
Authentic leather with nice shine and comfort .I recommend you this case !!,positive
I was very excited to get this headset because I thought it was really cute.,positive
Worth every penny.,positive
Excellent wallet type phone case.,positive
Nice headphones for the price and they work great!,positive
It is very comfortable to wear as well which is probably the most important aspect about using a case.,positive
It's fits like a glove and is strong secure and durable.,positive
O my gosh the best phone I have ever had.,positive
It's very attractive and appears to be of good quality.,positive
I love all the features and form factor.,positive
Great Earpiece.,positive
Excellent hands free tool.,positive
Great for using with your home stereo.,positive
Good product - incredible value.,positive
Only had this a month but it's worked flawlessly so far.,positive
Works great.,positive
Battery life is real good.,positive
It's a great item.,positive
Love this headset!,positive
Worked perfectly!,positive
I gave it 5 stars because of the sound quality.,positive
Reversible plug works great.,positive
Very good phone.,positive
Best of all is the rotating feature very helpful.,positive
Comfort for our whole family.,positive
Good product good seller.,positive
I love this bluetooth!,positive
I am very impressed with this headset from Plantronics.,positive
I got it because it was so small and adorable.,positive
Great phone!.,positive
This item is great installed it let it charged up overnite and it has been working good every since with no problems,positive
Great Phone.,positive
Excellent Phone.,positive
The voice recognition thru the handset is excellent.,positive
This is hands down the best phone I've ever had.,positive
Works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen.,positive
This one works and was priced right.,positive
Now I know that I made a wise decision.,positive
Someone shouldve invented this sooner.,positive
Good price.,positive
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,positive
I received it quickly and it works great!!,positive
Has been working great.,positive
This is a good battery and it got here really fast.,positive
Also its slim enough to fit into my alarm clock docking station without removing the case.,positive
Phone now holds charge like it did when it was new.,positive
We have gotten a lot of compliments on it.,positive
This is definitely a must have if your state does not allow cell phone usage while driving.,positive
I love this device.,positive
I am also very happy with the price.,positive
I was able to do voice dialing in the car with no problem.,positive
good item low price.,positive
VERY comfortable.,positive
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,positive
The reception is excellent!,positive
It fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days.,positive
very clear quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.,positive
Excellent sound quality.,positive
New Battery works great in phone.,positive
I've dropped my phone more times than I can say even on concrete and my phone is still great (knock on wood!).,positive
Good audio quality.,positive
This little device has transformed my organizational capability and made my life a whole lot easier.,positive
Works like a charm.. Works as advertised.,positive
Comfortable Nice Range Good Battery Life.,positive
The microphone also works well but (according to people I have called) it applifies everything.,positive
Nice design and quality.,positive
It is light easy to use and has very clear reception and transmission.,positive
It definitely was not as good as my S11.,positive
awesome device.,positive
I had ordered a motorola data cable got a very well finished and working product.,positive
Love This Phone.,positive
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,positive
Display is excellent and camera is as good as any from that year.,positive
Battery life is also great!,positive
Protects the phone on all sides.,positive
Clear Skype Calls Long Battery Life Long Range.,positive
Great Hands Free Device.,positive
you can even take self portraits with the outside (exterior) display very cool.,positive
After trying many many handsfree gadgets this is the one that finally works well.,positive
Magical Help.,positive
The best phone in market :).,positive
It worked very well.,positive
The company shipped my product very promptly and it works well.,positive
Exactly what I wanted.,positive
This is a great deal.,positive
Excellent product I am very satisfied with the purchase.,positive
I highly recommend these and encourage people to give them a try.,positive
Better than you'd expect.,positive
Great product and price.,positive
Sounds good reasonably priced and effective Its that simple !,positive
Very prompt service.,positive
Excellent product for the price.,positive
Very pleased with this headset.,positive
I especially love the long battery life.,positive
Works great.,positive
Plantronics Bluetooth Excelent Buy.,positive
I highly recommend this device to everyone!,positive
Jawbone Era is awesome too!,positive
I have used several phone in two years but this one is the best.,positive
An Awesome New Look For Fall 2000!.,positive
Price is good too.,positive
I'm using it with an iriver SPINN (with case) and it fits fine.,positive
Overall I am psyched to have a phone which has all my appointments and contacts in and gets great reception.,positive
every thing on phone work perfectly she like it.,positive
IT'S REALLY EASY.,positive
My Sanyo has survived dozens of drops on blacktop without ill effect.,positive
Fantastic earphones.,positive
It finds my cell phone right away when I enter the car.,positive
I highly recommend this modest priced cellular phone.,positive
But it does get better reception and clarity than any phone I've had before.,positive
Awsome Device Works Great!!.,positive
Restored my phone to like new performance.,positive
I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q go figure.,positive
I searched the Internet and found this one to be the best value.,positive
Very happy with this product.,positive
The screen size is big key pad lit well enough and the camera quality is excellent for a camera phone.,positive
i'm glad i found this product on amazon it is hard to find it wasn't high priced.,positive
Portable and it works.,positive
My colleague & I now get great reception.A little expensive but performance is great.,positive
Timely shipment and quality product.,positive
Nice solid keyboard.,positive
Very well made and fits my Surefire GX2 perfectly.,positive
We would recommend these to others.,positive
The battery works great!,positive
Looks great and is strong.,positive
I have had TMobile service for 2 or 3 years now and I am pretty happy with it.,positive
Great software for Motorolas.,positive
The delivery was on time.,positive
Very easy to use.,positive
It holds a charge for a long time is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.,positive
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,positive
After charging overnight these batteries work great.,positive
You won't regret it!,positive
I love this phone!.,positive
This PDA rocks.,positive
It is super charged up for use as a small hybrid palmtop/camera/cellphone and excels in those roles.,positive
I would definitely recommend the Jabra BT250v for those who are looking for comfort clarity and a great price!,positive
I had Verizon 2 years ago and really liked their service.,positive
Works as described.,positive
WELL IM SATISFIED.,positive
The bose noise cancelling is amazing which is very important for a NYC commuter.,positive
This battery is an excellent bargain!,positive
I wear glasses and it fits fine with them.,positive
great...no problems at all!.,positive
This frog phone charm is adorable and very eye catching.,positive
The sound is clear and the people I talk to on it are amazed at the quality too.,positive
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,positive
very good product well made.,positive
Mobile Phone Tools are a must have.,positive
I am very impressed with the job that Motorola did on the sturdiness of this phone.,positive
I received my orders well within the shipping timeframe everything was in good working order and overall I am very excited to have this source.,positive
The phone is sturdy and waterproof.,positive
Thanks again to Amazon for having the things I need for a good price!,positive
I ended up sliding it on the edge of my pants or back pockets instead.,positive
I had to go to a store and bought a new NOKIA phone which is working great.,positive
Works great!.,positive
The noise shield is incrediable.,positive
Razr Battery - Good buy.,positive
Keep up the good work Amazon!!,positive
Great case and price!,positive
Bluetooth range is good - a few days ago I left my phone in the trunk got a call and carried the conversation without a hitch.,positive
Small sleek impressive looking practical setup with ample storage in place.,positive
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,positive
I am glad I purchased it.,positive
No shifting no bubbling no peeling not even a scratch NOTHING!I couldn't be more happier with my new one for the Droid.,positive
I own a Jabra Earset and was very happy with it but the sound quality especially outgoing on this is better.,positive
I love the camera it's really pretty good quality.,positive
Thank you for such great service.,positive
Its a total package.,positive
The seller is very understanding and patient I would definitely buy from them again.,positive
Great product for the price!.,positive
I have purchased these for both family and friends and all enjoy their clarity and ease of use,positive
Virgin Wireless rocks and so does this cheap little phone!,positive
All in all I'm quite satisfied with this purchase.,positive
Great it was new packaged nice works good no problems and it came in less time then I expected!!!!,positive
Great Product.,positive
This fixes all the problems.,positive
I am very happy,positive
I've had no trouble accessing the Internet downloading ringtones or performing any of the functions.,positive
It does everything the description said it would.,positive
It works great with a car charger especially if you cannot plug in two adapters at the same time.,positive
It plays louder than any other speaker of this size the price is so low that most would think the quality is lacking however it's not.,positive
Better than expected.,positive
Battery is holding up well.,positive
Linked to my phone without effort.,positive
THey are so cool!,positive
Easy to use.,positive
Better Than New.,positive
A pretty good product.,positive
This is a great phone!.,positive
For the price on Amazon it is an excellent product which I would highly recommend.,positive
Their Research and Development division obviously knows what they're doing.,positive
Those phones are working just fine now.,positive
I am more than happy with this product.,positive
Overall I would recommend this phone over the new Walkman.,positive
It fits my ear well and is comfortable on.,positive
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,positive
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,positive
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,positive
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,positive
This is a great product..... sure beats using your fingers!.,positive
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,positive
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,positive
I posted more detailed comments under the grey or black phone but i have the Fire Red and it's a great color!,positive
I did not have any problem with this item and would order it again if needed.,positive
Not only did the software do a great job of this I could also make my own ringtones form my existing CDs without an internet connection.,positive
im surprised this is a good quality car charger and there's not much reviews about it.,positive
These are fabulous!,positive
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,positive
Very wind-resistant.,positive
They do not last forever but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.,positive
