So there is no way for me to plug it in here in the US unless I go by a converter.,negative
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,negative
I have to jiggle the plug to get it to line up right to get decent volume.,negative
If you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one.,negative
Needless to say I wasted my money.,negative
What a waste of money and time!.,negative
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,negative
The design is very odd as the ear clip is not very comfortable at all.,negative
I advise EVERYONE DO NOT BE FOOLED!,negative
It clicks into place in a way that makes you wonder how long that mechanism would last.,negative
I went on Motorola's website and followed all directions but could not get it to pair again.,negative
The commercials are the most misleading.,negative
I bought it for my mother and she had a problem with the battery.,negative
I didn't think that the instructions provided were helpful to me.,negative
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,negative
Doesn't hold charge.,negative
This is a simple little phone to use but the breakage is unacceptible.,negative
It is unusable in a moving car at freeway speed.,negative
I have two more years left in this contract and I hate this phone.,negative
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,negative
Poor Talk Time Performance.,negative
worthless product.,negative
I was not impressed by this product.,negative
I only hear garbage for audio.,negative
Who in their right mind is gonna buy this battery?.,negative
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,negative
Disappointed with battery.,negative
Not loud enough and doesn't turn on like it should.,negative
VERY DISAPPOINTED.,negative
The buttons for on and off are bad.,negative
Essentially you can forget Microsoft's tech support.,negative
Buy a different phone - but not this.,negative
You have to hold the phone at a particular angle for the other party to hear you clearly.,negative
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,negative
A week later after I activated it it suddenly died.,negative
Mic Doesn't work.,negative
Even in my BMW 3 series which is fairly quiet I have trouble hearing what the other person is saying.,negative
Do Not Buy for D807...wrongly advertised for D807.,negative
I purchased this and within 2 days it was no longer working!!!!!!!!!,negative
Not a good bargain.,negative
The battery runs down quickly.,negative
This item worked great but it broke after 6 months of use.,negative
The construction of the headsets is poor.,negative
For a product that costs as much as this one does I expect it to work far better and with greater ease than this thing does.,negative
The ear buds only play music in one ear.,negative
Dont waste your money...,negative
If you plan to use this in a car forget about it.,negative
I found this product to be waaay too big.,negative
I'm very disappointed with my decision.,negative
Buyer Beware you could flush money right down the toilet.,negative
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,negative
That's a huge design flaw (unless I'm not using it correctly which I don't think is the case).,negative
The camera although rated at an impressive 1.3 megapixels renders images that fall well below expectations of such a relatively high resolution.,negative
I purcashed this for the car charger and it does not work.,negative
i got this phone around the end of may and i'm completely unhappy with it.,negative
Could not get strong enough signal.,negative
Bad Quality.,negative
Basically the service was very bad.,negative
it did not work in my cell phone plug i am very up set with the charger!.,negative
The BT headset was such a disapoinment.,negative
Buyer--Be Very Careful!!!!!.,negative
The majority of the Logitech earbud headsets failed.,negative
In my house I was getting dropped coverage upstairs and no coverage in my basement.,negative
What a waste.,negative
During several different 2 minute calls I experienced 5 drops and it was in an area that had 5 bars.,negative
I was not happy with this item.,negative
very disappointed.,negative
The phone takes FOREVER to charge like 2 to 5 hours literally.,negative
What a waste of time!,negative
Its reception is very very poor.,negative
Items stated as included from the description ARE NOT INCLUDED.,negative
After 3 months screen just went black all of a sudden.,negative
I Was Hoping for More.,negative
Audio Quality is poor very poor.,negative
I've bought $5 wired headphones that sound better than these.,negative
All I can do is whine on the Internet so here it goes.The more I use the thing the less I like it.,negative
This is essentially a communications tool that does not communicate.,negative
I still maintain that monkeys shouldn't make headphones we just obviously don't share enough DNA to copy the design over to humans.,negative
Doesn't work at all.. I bougth it for my L7c and its not working.,negative
doesn't last long.,negative
One thing I hate is the mode set button at the side.,negative
Thank you for wasting my money.,negative
How can that be?The audio quality is poor.,negative
I put the latest OS on it (v1.15g) and it now likes to slow to a crawl and lock up every once in a while.,negative
It only recognizes the Phone as its storage device.,negative
If you like a loud buzzing to override all your conversations then this phone is for you!,negative
Don't buy this product.,negative
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,negative
I have this phone and it is a thorn in my side I really abhor it.,negative
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,negative
Design Flaw?.,negative
Waste of 13 bucks.,negative
But when I check voice mail at night the keypad backlight turns off a few seconds into the first message and then I'm lost.,negative
The replacement died in a few weeks.,negative
I have had problems wit hit dropping signal and more.,negative
Not impressed.,negative
Bad Choice.,negative
The pleather case doesn't fit.,negative
useless phone simply deaf.,negative
It makes very strange ticking noises before it ends the call.,negative
